family,method,rows,success_rate,empty_intersection_rate,destroyed_episode_rate,mean_regret,mean_cost,refusal_rate,groups,bits,mean_group_size,max_group_size,raw_possible_cases
family_f,ccsc_2x4,24,0.9633964789551676,0.11968402611470934,0.12868878913921247,0.07711197517727186,1.14641408417933,0.0,14.041666666666666,3.875,6.642934476038975,17.166666666666668,622.5416666666666
family_f,ccsc_6x8,24,0.9995930895808595,0.004776976730555067,0.008861911701517839,0.007419369674070167,1.0016276416765628,0.0,43.875,5.5,2.856513617004765,8.833333333333334,622.5416666666666
family_f,ccsc_8x12,24,0.9995384089159426,0.0032759666594895966,0.00431742538560509,0.002880443111311974,1.0018463643362303,0.0,51.083333333333336,5.666666666666667,1.9509117217793686,4.75,622.5416666666666
family_f,contact_count,24,0.7759520724452926,0.8506944444444443,0.8495887252362607,0.16910331422303895,1.8961917102188306,0.0,1.0,0.0,64.0,64.0,622.5416666666666
family_f,normal8_mu2,24,0.9977886022990038,0.015738166227659747,0.017922229996282794,0.08187789562835043,1.0088455908039846,0.0,7.041666666666667,2.7083333333333335,11.555555555555555,15.041666666666666,622.5416666666666
family_f,normal_4,24,0.996800066608837,0.03372404218231936,0.03065404593135536,0.15975875157657532,1.0127997335646521,0.0,3.5416666666666665,1.7083333333333333,22.666666666666668,24.333333333333332,622.5416666666666
family_f,prediction_4,24,0.9990271600182029,0.011227699344757392,0.010213746098710882,0.03046732407741481,1.0038913599271893,0.0,27.625,4.875,5.199392853757178,14.208333333333334,622.5416666666666
family_f,random_3,24,0.8362266814172034,0.4388020833333335,0.48398009476023535,0.11818593834306446,1.6550932743311861,0.0,8.0,3.0,8.0,8.0,622.5416666666666
family_f,raw_mode,24,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,622.5416666666666
family_f,safe_refusal_ccsc,24,0.9911380882984822,0.004776976730555067,0.008861911701517839,0.008890885797095703,1.0354476468060714,0.008861911701517839,43.875,5.5,2.856513617004765,8.833333333333334,622.5416666666666
